# log10_gbar log10_gobs log10_p16 log10_p84
-1.577511855116626371e+01 -1.311623133587584178e+01 -1.335844564127655332e+01 -1.296227691931722248e+01
-1.548940426545197724e+01 -1.287701409551910992e+01 -1.311490680415783849e+01 -1.272411051120925585e+01
-1.520368997973769254e+01 -1.264253074049528003e+01 -1.287544509388045633e+01 -1.249090134408657704e+01
-1.515296666362593392e+01 -1.262382530193719887e+01 -1.300816324040915539e+01 -1.243968149607003504e+01
-1.491797569402340784e+01 -1.241360540496541098e+01 -1.264072060939598074e+01 -1.226353836100548378e+01
-1.490041807481986780e+01 -1.211887940357170734e+01 -1.221550172054116778e+01 -1.203989006081700097e+01
-1.486725237791164744e+01 -1.239380820101575864e+01 -1.276937174100672046e+01 -1.221171502949790799e+01
-1.471313765903856030e+01 -1.183781979006423235e+01 -1.183781979006423235e+01 -1.183781979006423235e+01
-1.463226140830912136e+01 -1.219122485276176526e+01 -1.241184191516372515e+01 -1.204309355278101634e+01
-1.461470378910558132e+01 -1.189691598135087247e+01 -1.199115809489976670e+01 -1.181952248371185732e+01
-1.458153809219736097e+01 -1.217012588507919268e+01 -1.253542717720101685e+01 -1.199050348147714828e+01
-1.442742337332427383e+01 -1.162253356859783260e+01 -1.162253356859783260e+01 -1.162253356859783260e+01
-1.434654712259483489e+01 -1.197655999832687002e+01 -1.218969498878551505e+01 -1.183084799126407916e+01
-1.432898950339129485e+01 -1.168284467317237230e+01 -1.177427008893607940e+01 -1.160735868700218099e+01
-1.429582380648307627e+01 -1.195389845862508871e+01 -1.230719530255426797e+01 -1.177726990899351200e+01
-1.414170908760998735e+01 -1.141639809830703456e+01 -1.141639809830703456e+01 -1.141639809830703456e+01
-1.406083283688055019e+01 -1.177098002701588442e+01 -1.197530134363014476e+01 -1.162819489068189327e+01
-1.404327521767701015e+01 -1.147810746410165805e+01 -1.156620647346065667e+01 -1.140490112437155723e+01
-1.401010952076878979e+01 -1.174642953945998158e+01 -1.208572099586558579e+01 -1.157344252400506512e+01
-1.385599480189570265e+01 -1.122106677647222206e+01 -1.122106677647222206e+01 -1.122106677647222206e+01
-1.377511855116626371e+01 -1.157605050014535486e+01 -1.177039613382413030e+01 -1.143622438503381034e+01
-1.375756093196272367e+01 -1.128436268478906435e+01 -1.136855680202397600e+01 -1.121387037045093216e+01
-1.372439523505450509e+01 -1.154919958046996875e+01 -1.187225488576384613e+01 -1.138064657113421951e+01
-1.357028051618141617e+01 -1.103839282002925692e+01 -1.103839282002925692e+01 -1.103839282002925692e+01
-1.348940426545197724e+01 -1.139350322066103338e+01 -1.157585220491893097e+01 -1.125745825410464285e+01
-1.347184664624843897e+01 -1.110345021474523719e+01 -1.118311094462852928e+01 -1.103616126047847068e+01
-1.343868094934021862e+01 -1.136383124650652121e+01 -1.166827206404774309e+01 -1.120066179511047721e+01
-1.328456623046713148e+01 -1.087035061933299929e+01 -1.087035061933299929e+01 -1.087035061933299929e+01
-1.320368997973769254e+01 -1.122516308729649204e+01 -1.139446724656644605e+01 -1.109390468826362763e+01
-1.318613236053415250e+01 -1.093730411357348764e+01 -1.101179273561338157e+01 -1.087374051594157542e+01
-1.315296666362593392e+01 -1.119201614648348908e+01 -1.147547170719175469e+01 -1.103533030198837572e+01
-1.299885194475284500e+01 -1.071888587815611515e+01 -1.071888587815611515e+01 -1.071888587815611515e+01
-1.291797569402340784e+01 -1.107281862739113620e+01 -1.122843526628356514e+01 -1.094866677506189667e+01
-1.290041807481986780e+01 -1.078779685505197250e+01 -1.085652947969671445e+01 -1.072847033447930265e+01
-1.286725237791164744e+01 -1.103539753898071929e+01 -1.129574097591197379e+01 -1.088640506730555302e+01
-1.271313765903856030e+01 -1.058568773237307248e+01 -1.058568773237307248e+01 -1.058568773237307248e+01
-1.263226140830912136e+01 -1.093803248965425112e+01 -1.107918802462484820e+01 -1.082219926884978634e+01
-1.261470378910558132e+01 -1.065651390443108149e+01 -1.071904845929145011e+01 -1.060186080211425086e+01
-1.258153809219736097e+01 -1.089541494299277424e+01 -1.113106265703985365e+01 -1.075534441774090944e+01
-1.242742337332427383e+01 -1.047190550926031172e+01 -1.047190550926031172e+01 -1.047190550926031172e+01
-1.234654712259483667e+01 -1.082190864736848646e+01 -1.094817869664488796e+01 -1.071369634514479685e+01
-1.232898950339129485e+01 -1.054448607152136042e+01 -1.060061526194895443e+01 -1.049478790369554737e+01
-1.229582380648307627e+01 -1.077313037960221109e+01 -1.098334863694461916e+01 -1.064308109557686066e+01
-1.214170908760998735e+01 -1.037787383073148639e+01 -1.037787383073148639e+01 -1.037787383073148639e+01
-1.206083283688055019e+01 -1.072486099918169167e+01 -1.083621121932635312e+01 -1.062575543780675424e+01
-1.204327521767701015e+01 -1.045194216205167592e+01 -1.050176420752296380e+01 -1.040725199558046832e+01
-1.201010952076878979e+01 -1.066906508573084089e+01 -1.085419724330961877e+01 -1.054981722206355244e+01
-1.185599480189570265e+01 -1.030293995773079274e+01 -1.030293995773079274e+01 -1.030293995773079274e+01
-1.177511855116626371e+01 -1.064645054806532265e+01 -1.074442930058765278e+01 -1.055740231831306630e+01
-1.175756093196272545e+01 -1.037816538216419993e+01 -1.042210247614801766e+01 -1.033826780888526287e+01
