# log10_gbar log10_gobs log10_p16 log10_p84
-1.563699271242050060e+01 -1.321658550700245982e+01 -1.353039911450478350e+01 -1.305283580956200495e+01
-1.535127842670621234e+01 -1.297619246766189960e+01 -1.328512749082905131e+01 -1.281323065919724691e+01
-1.515457093351697715e+01 -1.276484935910365692e+01 -1.307995103019730543e+01 -1.260408298548968276e+01
-1.506556414099192764e+01 -1.274033045055609925e+01 -1.304352979913740107e+01 -1.257824201066464020e+01
-1.493280129334136497e+01 -1.245870415496210448e+01 -1.283346193972206173e+01 -1.228992065245530085e+01
-1.486885664780269067e+01 -1.253137459439076729e+01 -1.284010634996995748e+01 -1.237134736049428518e+01
-1.477984985527764117e+01 -1.250978161071887840e+01 -1.280624266581999215e+01 -1.234904275734430712e+01
-1.468169727569346072e+01 -1.209362039829353463e+01 -1.258474672449257170e+01 -1.189808045795968461e+01
-1.464708700762707849e+01 -1.223287736055157282e+01 -1.259696637091201765e+01 -1.206319198061498810e+01
-1.458314236208840242e+01 -1.230361442031123609e+01 -1.260491507288021573e+01 -1.214454399109758675e+01
-1.449413556956336002e+01 -1.228548324436814276e+01 -1.257415379098752339e+01 -1.212612764722893210e+01
-1.439598298997917425e+01 -1.187642437007729512e+01 -1.235232634384960981e+01 -1.168113399949896980e+01
-1.436137272191279379e+01 -1.201386862047307780e+01 -1.236572488712520368e+01 -1.184349871724847070e+01
-1.429742807637411950e+01 -1.208257627772828968e+01 -1.237492632068105536e+01 -1.192476218966881341e+01
-1.420842128384907177e+01 -1.206854950900935641e+01 -1.234813577277410701e+01 -1.191113744200036173e+01
-1.411026870426488955e+01 -1.166768912153156457e+01 -1.212589560736785899e+01 -1.147303303308576972e+01
-1.407565843619850909e+01 -1.180280039248414603e+01 -1.214073720152058833e+01 -1.163215953227474841e+01
-1.401171379065983302e+01 -1.186944926217120866e+01 -1.215137208281945647e+01 -1.171338629434595902e+01
-1.392270699813478352e+01 -1.186028703373554194e+01 -1.212925636572989774e+01 -1.170516810205528735e+01
-1.382455441855060485e+01 -1.146880349536749399e+01 -1.190655536957985028e+01 -1.127538624632957287e+01
-1.378994415048422262e+01 -1.160096102004727392e+01 -1.192315523601221372e+01 -1.143084289362994710e+01
-1.372599950494554655e+01 -1.166561448964216119e+01 -1.193550594799618558e+01 -1.151196190500079020e+01
-1.363699271242050415e+01 -1.166219665866991306e+01 -1.191880286387381638e+01 -1.151034417397290532e+01
-1.353884013283631660e+01 -1.128128822245590790e+01 -1.169617115668738805e+01 -1.108972726238313555e+01
