# log10_gbar log10_gobs log10_p16 log10_p84
-1.567982981498471418e+01 -1.318128190385328402e+01 -1.347828042538750815e+01 -1.302130023451193885e+01
-1.539411552927043125e+01 -1.294122044951823902e+01 -1.323344602586406005e+01 -1.278222790318614344e+01
-1.516494137935006847e+01 -1.271062665222692800e+01 -1.298452331705564333e+01 -1.254665489514065513e+01
-1.510840124355614300e+01 -1.270575197033525683e+01 -1.299247344193181597e+01 -1.254780056394184840e+01
-1.494167740021554103e+01 -1.244261208091948845e+01 -1.276827511947961469e+01 -1.225650008710943872e+01
-1.487922709363578200e+01 -1.247742196872965792e+01 -1.274591105367501065e+01 -1.231507188779549722e+01
-1.482268695784186008e+01 -1.247567344816248713e+01 -1.275604976889983178e+01 -1.231893246268166919e+01
-1.473346828223583138e+01 -1.212598306493089950e+01 -1.261002832389772088e+01 -1.192466443970205425e+01
-1.465596311450125455e+01 -1.221602713767814130e+01 -1.253287243019219943e+01 -1.203028220811492588e+01
-1.459351280792149552e+01 -1.225001958392543067e+01 -1.251217739238278348e+01 -1.208950392646574734e+01
-1.453697267212757183e+01 -1.225194042228854308e+01 -1.252489302369069080e+01 -1.209675786980755952e+01
-1.444775399652154491e+01 -1.190829562753169490e+01 -1.237724732932244898e+01 -1.170635548210351295e+01
-1.437024882878696985e+01 -1.199627475721967684e+01 -1.230291961245412580e+01 -1.181119419876214849e+01
-1.430779852220721082e+01 -1.202946032611570359e+01 -1.228419479561106087e+01 -1.187115323315470583e+01
-1.425125838641329246e+01 -1.203568889056701785e+01 -1.229990292542966834e+01 -1.188244656356097551e+01
-1.416203971080725843e+01 -1.169893352899019590e+01 -1.215039035399106027e+01 -1.149663958895786919e+01
-1.408453454307268338e+01 -1.178452231813500894e+01 -1.207940790532966346e+01 -1.160055647981467075e+01
-1.402208423649292435e+01 -1.181697719192485430e+01 -1.206301602417230079e+01 -1.166138895381236118e+01
-1.396554410069900243e+01 -1.182825048541651469e+01 -1.208225701079081560e+01 -1.167765068361649128e+01
-1.387632542509297373e+01 -1.149924166809914183e+01 -1.193054506516535618e+01 -1.129708624467172307e+01
-1.379882025735839690e+01 -1.158211079177456249e+01 -1.186352724200085440e+01 -1.139991667430897060e+01
-1.373636995077863965e+01 -1.161400592356202921e+01 -1.184990062205976891e+01 -1.146176704563573523e+01
-1.367982981498471950e+01 -1.163115267491775739e+01 -1.187333935324275203e+01 -1.148382576322138959e+01
-1.359061113937868726e+01 -1.131068658946121275e+01 -1.171901000935447890e+01 -1.110947928336051760e+01
-1.351310597164411220e+01 -1.139054601743399253e+01 -1.165668814955945898e+01 -1.121104001612191681e+01
-1.345065566506435317e+01 -1.142217517406175809e+01 -1.164633314710076561e+01 -1.127407403269094033e+01
-1.339411552927043303e+01 -1.144609239036694781e+01 -1.167471848745240415e+01 -1.130289392280481842e+01
-1.330489685366440256e+01 -1.113480247752637275e+01 -1.151731033948964011e+01 -1.093575994792541017e+01
-1.322739168592982573e+01 -1.121146559048085045e+01 -1.146052828070196838e+01 -1.103585776246086603e+01
-1.316494137935006670e+01 -1.124326262472733262e+01 -1.145402175029891900e+01 -1.110025868431711693e+01
-1.310840124355614655e+01 -1.127486931774853929e+01 -1.148828668289779387e+01 -1.113700593790053617e+01
-1.301918256795011608e+01 -1.097310923630472601e+01 -1.132719129374375733e+01 -1.077790539041607332e+01
-1.294167740021554103e+01 -1.104656908193537745e+01 -1.127688847380566628e+01 -1.087635285417309383e+01
-1.287922709363578200e+01 -1.107910251883740038e+01 -1.127486024836485434e+01 -1.094226781941890714e+01
-1.282268695784186008e+01 -1.111926665433215078e+01 -1.131590837968208341e+01 -1.098766547804238058e+01
-1.273346828223583138e+01 -1.082700446540124162e+01 -1.115057166866353811e+01 -1.063772940095887165e+01
-1.265596311450125455e+01 -1.089749940036807629e+01 -1.110773849653014267e+01 -1.073436816578719188e+01
-1.259351280792149552e+01 -1.093143490804959583e+01 -1.111083306091716771e+01 -1.080174080474114184e+01
-1.253697267212757716e+01 -1.098087556906429363e+01 -1.115948917772605142e+01 -1.085668382300195312e+01
-1.244775399652154491e+01 -1.069763438189860949e+01 -1.098943650996333155e+01 -1.051661514024472766e+01
-1.237024882878696985e+01 -1.076567111593150727e+01 -1.095503272355810154e+01 -1.061134400142583090e+01
-1.230779852220721082e+01 -1.080170054416698022e+01 -1.096384539893389132e+01 -1.068052055827433122e+01
-1.225125838641328890e+01 -1.086087684805459652e+01 -1.102107364644617071e+01 -1.074517597493982635e+01
-1.216203971080725843e+01 -1.058575197493978237e+01 -1.084565317919669525e+01 -1.041522788600411076e+01
-1.208453454307268338e+01 -1.065206077068602930e+01 -1.082048751191172364e+01 -1.050802878507657745e+01
-1.202208423649292435e+01 -1.069080775211258860e+01 -1.083524586253774480e+01 -1.057899465549827234e+01
-1.196554410069900420e+01 -1.075981693128600014e+01 -1.090202798573036702e+01 -1.065380292538313967e+01
-1.187632542509297373e+01 -1.049157764451893016e+01 -1.072071456767056219e+01 -1.033329341096545839e+01
-1.179882025735839868e+01 -1.055699993852527996e+01 -1.070534296366314031e+01 -1.042423958125463024e+01
-1.173636995077863965e+01 -1.059892244249095583e+01 -1.072603637413025091e+01 -1.049692184367902748e+01
-1.167982981498471773e+01 -1.067743663106248064e+01 -1.080272720162357736e+01 -1.058166962797895394e+01
-1.159061113937868726e+01 -1.041468996399420099e+01 -1.061544927671662286e+01 -1.026953472691232250e+01
-1.151310597164411220e+01 -1.048003058628039774e+01 -1.060996171304458180e+01 -1.035878437185571599e+01
-1.145065566506435317e+01 -1.052534651095781193e+01 -1.063653516804971844e+01 -1.043304364131436657e+01
-1.130489685366440256e+01 -1.035398515774789985e+01 -1.052964031996860328e+01 -1.022201071059172683e+01
-1.122739168592982573e+01 -1.041987959822680132e+01 -1.053332761689608432e+01 -1.031017291218614318e+01
