# r_Mpc  log10_gbar  log10_gobs_lo  log10_gobs_hi
# # Bin 4: filtrat (no subnewtonia, amplada<0.70 dex)
7.077381e-02 -1.153461e+01 -1.139816e+01 -1.136291e+01
1.015511e-01 -1.184824e+01 -1.132676e+01 -1.107872e+01
1.457125e-01 -1.216186e+01 -1.116730e+01 -1.105056e+01
2.090784e-01 -1.247549e+01 -1.106220e+01 -1.095025e+01
3.000000e-01 -1.278911e+01 -1.106299e+01 -1.092742e+01
4.304606e-01 -1.310274e+01 -1.117473e+01 -1.102037e+01
6.176545e-01 -1.341636e+01 -1.126930e+01 -1.112786e+01
8.862531e-01 -1.372998e+01 -1.146048e+01 -1.125186e+01
1.271657e+00 -1.404361e+01 -1.167096e+01 -1.141975e+01
1.824661e+00 -1.435723e+01 -1.213387e+01 -1.162428e+01
2.618148e+00 -1.467086e+01 -1.228088e+01 -1.188502e+01
