# r_Mpc  log10_gbar  log10_gobs
2.395720e-02 -1.163378e+01 -1.421495e+01
3.437544e-02 -1.194740e+01 -1.274498e+01
4.932424e-02 -1.226103e+01 -1.245990e+01
7.077381e-02 -1.257465e+01 -1.220262e+01
1.015511e-01 -1.288827e+01 -1.193941e+01
1.457125e-01 -1.320190e+01 -1.174253e+01
2.090784e-01 -1.351552e+01 -1.164959e+01
3.000000e-01 -1.382915e+01 -1.168941e+01
4.304606e-01 -1.414277e+01 -1.181259e+01
6.176545e-01 -1.445640e+01 -1.194113e+01
8.862531e-01 -1.477002e+01 -1.209706e+01
1.271657e+00 -1.508365e+01 -1.225325e+01
1.824661e+00 -1.539727e+01 -1.246622e+01
2.618148e+00 -1.571089e+01 -1.327716e+01
