# r_Mpc  log10_gbar  log10_gobs
2.395720e-02 -1.110376e+01 -1.235045e+01
3.437544e-02 -1.141739e+01 -1.270400e+01
4.932424e-02 -1.173101e+01 -1.238160e+01
7.077381e-02 -1.204464e+01 -1.191120e+01
1.015511e-01 -1.235826e+01 -1.168389e+01
1.457125e-01 -1.267189e+01 -1.150108e+01
2.090784e-01 -1.298551e+01 -1.140313e+01
3.000000e-01 -1.329914e+01 -1.145362e+01
4.304606e-01 -1.361276e+01 -1.163667e+01
6.176545e-01 -1.392638e+01 -1.183279e+01
8.862531e-01 -1.424001e+01 -1.210629e+01
1.271657e+00 -1.455363e+01 -1.245869e+01
1.824661e+00 -1.486726e+01 -1.258593e+01
2.618148e+00 -1.518088e+01 -1.317508e+01
