# Radius(m/s^2)  ESD_t(h70*M_sun/pc^2)  ESD_x(h70*M_sun/pc^2)  error(h70*M_sun/pc^2)  bias(1+K)  variance(e_s)  wk^2  w^2k^2
1.3822e-15    4.2910e-01    -1.4479e-01    1.5660e-01    9.8531e-01    7.8021e-02    4.0315e+01    3.9860e+01
2.4388e-15    6.2749e-01    -2.4040e-01    2.0257e-01    9.8531e-01    7.8021e-02    2.3718e+01    2.3085e+01
4.3030e-15    9.3594e-01    -3.6587e-02    2.6406e-01    9.8531e-01    7.8021e-02    1.3850e+01    1.3376e+01
7.5922e-15    1.7882e+00    5.1194e-01    3.4434e-01    9.8531e-01    7.8021e-02    8.0718e+00    7.7254e+00
1.3396e-14    1.9611e+00    2.2533e-01    4.5073e-01    9.8531e-01    7.8021e-02    4.6900e+00    4.4686e+00
2.3635e-14    2.8107e+00    -8.1550e-02    5.9099e-01    9.8531e-01    7.8021e-02    2.7200e+00    2.5840e+00
4.1702e-14    5.2654e+00    -1.7760e-01    7.7755e-01    9.8531e-01    7.8021e-02    1.5703e+00    1.4908e+00
7.3580e-14    4.3373e+00    1.4125e+00    1.0218e+00    9.8531e-01    7.8021e-02    9.0749e-01    8.5985e-01
1.2982e-13    8.8251e+00    7.8077e-01    1.3474e+00    9.8531e-01    7.8021e-02    5.2134e-01    4.9345e-01
2.2906e-13    1.0455e+01    -2.3045e+00    1.7775e+00    9.8531e-01    7.8021e-02    2.9971e-01    2.8383e-01
4.0416e-13    1.2211e+01    4.4552e-01    2.3435e+00    9.8531e-01    7.8021e-02    1.7224e-01    1.6293e-01
7.1310e-13    1.1359e+01    2.7882e-01    3.0953e+00    9.8531e-01    7.8021e-02    9.8810e-02    9.3543e-02
1.2582e-12    1.4887e+01    -2.0980e+00    4.0856e+00    9.8531e-01    7.8021e-02    5.6669e-02    5.3604e-02
2.2200e-12    2.6562e+01    1.0434e+01    5.3961e+00    9.8531e-01    7.8021e-02    3.2514e-02    3.0782e-02
3.9169e-12    2.2938e+01    -7.3613e-01    7.1374e+00    9.8531e-01    7.8021e-02    1.8593e-02    1.7611e-02
