# Radius(m/s^2)  ESD_t(h70*M_sun/pc^2)  ESD_x(h70*M_sun/pc^2)  error(h70*M_sun/pc^2)  bias(1+K)  variance(e_s)  wk^2  w^2k^2
1.3822e-15    7.1172e-01    1.5691e-02    1.5960e-01    9.8531e-01    7.8021e-02    3.8977e+01    3.8700e+01
2.4388e-15    7.0810e-01    -1.7988e-01    2.0683e-01    9.8531e-01    7.8021e-02    2.2966e+01    2.2562e+01
4.3030e-15    1.1900e+00    -5.7693e-01    2.6875e-01    9.8531e-01    7.8021e-02    1.3459e+01    1.3083e+01
7.5922e-15    2.2885e+00    9.0259e-02    3.4916e-01    9.8531e-01    7.8021e-02    7.8878e+00    7.5853e+00
1.3396e-14    2.1157e+00    6.2716e-01    4.5481e-01    9.8531e-01    7.8021e-02    4.6135e+00    4.4027e+00
2.3635e-14    2.7851e+00    -3.9096e-01    5.9500e-01    9.8531e-01    7.8021e-02    2.6896e+00    2.5610e+00
4.1702e-14    5.1256e+00    1.4615e-01    7.8076e-01    9.8531e-01    7.8021e-02    1.5595e+00    1.4826e+00
7.3580e-14    4.6216e+00    -6.4117e-02    1.0253e+00    9.8531e-01    7.8021e-02    9.0237e-01    8.5604e-01
1.2982e-13    7.6968e+00    -1.5524e-01    1.3473e+00    9.8531e-01    7.8021e-02    5.2164e-01    4.9396e-01
2.2906e-13    9.7896e+00    -1.0877e+00    1.7742e+00    9.8531e-01    7.8021e-02    3.0111e-01    2.8540e-01
4.0416e-13    1.1156e+01    -2.2828e+00    2.3387e+00    9.8531e-01    7.8021e-02    1.7299e-01    1.6369e-01
7.1310e-13    1.5879e+01    1.5801e+00    3.0811e+00    9.8531e-01    7.8021e-02    9.9838e-02    9.4623e-02
1.2582e-12    1.9993e+01    -1.7152e+00    4.0528e+00    9.8531e-01    7.8021e-02    5.7610e-02    5.4514e-02
2.2200e-12    2.4502e+01    -4.1187e-01    5.3642e+00    9.8531e-01    7.8021e-02    3.2906e-02    3.1159e-02
3.9169e-12    2.7545e+01    3.7060e+00    7.0800e+00    9.8531e-01    7.8021e-02    1.8931e-02    1.7964e-02
