Name	R	Vobs	Vgas	Vst	Qmax	Qpop
u2885	6.68	256	0	223.8057	1.733333	0.5066667
u2885	13.4	271	0	188.8306	1.733333	0.5066667
u2885	19.1	282	0	213.0634	1.733333	0.5066667
u2885	22.9	287	28.5	215.7244	1.733333	0.5066667
u2885	26.7	283	39.8	214.7073	1.733333	0.5066667
u2885	30.6	280	44.6	218.3644	1.733333	0.5066667
u2885	34.4	280	49.8	219.039	1.733333	0.5066667
u2885	38.2	281	59.1	209.0769	1.733333	0.5066667
u2885	42	282	66.5	198.4235	1.733333	0.5066667
u2885	45.8	287	64.4	190.6923	1.733333	0.5066667
u2885	49.7	292	70.5	183.1154	1.733333	0.5066667
u2885	53.5	298	78.4	178.4248	1.733333	0.5066667
u2885	57.3	298	82.5	167.3898	1.733333	0.5066667
u2885	61.1	298	82.5	158.335	1.733333	0.5066667
u2885	64.9	298	82	151.1651	1.733333	0.5066667
u2885	68.8	298	85	145.8664	1.733333	0.5066667
u2885	72.6	298	85.4	140.6517	1.733333	0.5066667
n5533	8.64	297	14.2	283.8596	7.941176	0.7441176
n5533	14.4	273	25.9	233.201	7.941176	0.7441176
n5533	20.2	273	31.9	199.0389	7.941176	0.7441176
n5533	25.9	271	43.3	177.5029	7.941176	0.7441176
n5533	37.4	245	44	149.3801	7.941176	0.7441176
n5533	43.2	240	45.5	139.0696	7.941176	0.7441176
n5533	49	243	48.1	132.2695	7.941176	0.7441176
n5533	54.7	245	50.6	123.853	7.941176	0.7441176
n5533	60.5	244	48.5	117.1155	7.941176	0.7441176
n5533	66.2	237	45.2	111.5968	7.941176	0.7441176
n5533	72	227	46.7	107.1905	7.941176	0.7441176
n6674	12	291	0	245.4084	6.923077	0.4346154
n6674	16.7	274	0	213.3902	6.923077	0.4346154
n6674	21.5	266	22.9	189.299	6.923077	0.4346154
n6674	26.3	255	34.7	172.4236	6.923077	0.4346154
n6674	31.1	250	41.3	159.0919	6.923077	0.4346154
n6674	35.9	242	44.6	148.2464	6.923077	0.4346154
n6674	40.6	237	48.6	140.4451	6.923077	0.4346154
n6674	45.4	235	49.8	133.0795	6.923077	0.4346154
n6674	50.2	236	47.6	125.4792	6.923077	0.4346154
