# Name, z,    Radius         log(gbar)          log(gtot)      err_log(gtot)_low  err_log(gtot)_up
#             (kpc)           [m/s^2]             [m/s^2]         [m/s^2]             [m/s^2]
A0085 0.0556 96.386266 -10.337187171771959 -9.711734137774611 0.5792177168734689 0.47116479193291916
A0085 0.0556 252.513313 -10.692061563412361 -9.728032125322768 0.29145200261717186 0.17540531509382795
A0085 0.0556 356.05616 -10.767520371218883 -9.780571968470188 0.19923202493198744 0.11798182632212395
A0085 0.0556 440.332484 -10.811006037514334 -9.820962329006136 0.13998916787004845 0.08977360244980126
A0085 0.0556 510.003845 -10.841823645759904 -9.852140264078953 0.11209934642331199 0.07473952081816115
A0085 0.0556 570.962712 -10.866700189035377 -9.87673041511136 0.09372882059478904 0.06465124013742951
A0085 0.0556 634.577877 -10.891706537242856 -9.901762340037298 0.07975289479860415 0.05550641774192577
A0085 0.0556 710.023501 -10.920263090062347 -9.930508174565436 0.06820738574679908 0.04858541795225335
A0085 0.0556 792.406851 -10.950101488333868 -9.958636503560978 0.05972725605950835 0.04383575270295026
A0085 0.0556 876.053717 -10.979137642121756 -9.987544953453224 0.051934427687777784 0.04348810753061905
A0085 0.0556 965.088154 -11.008520908493473 -10.018497707076028 0.043356513276261666 0.04527247731109263
A0085 0.0556 1062.815094 -11.038634879359902 -10.04723707720847 0.040516879805391426 0.04428165241487747
A0085 0.0556 1156.946791 -11.066142897710648 -10.072956637077871 0.040148260386171586 0.045066655049998516
A0085 0.0556 1248.23565 -11.092157442008121 -10.09721841229151 0.039952227163281506 0.04597801877135588
A0085 0.0556 1361.091156 -11.1237074308886 -10.124079879831994 0.04243061136740245 0.04592183155307339
A0085 0.0556 1506.872573 -11.16462403856058 -10.159151653754042 0.041484498835648864 0.049759815590283196
A0085 0.0556 1827.744077 -11.253556271966206 -10.228964431953456 0.03989068621371672 0.0552524140424957
A1795 0.0616 731.69187 -10.994353219121702 -10.095814975091203 0.149397617405576 0.11469174815439942
A1795 0.0616 1676.818482 -11.311777206465118 -10.466425952081563 0.0632167435955111 0.06640589650249318
A1795 0.0616 2180.993647 -11.447935481138312 -10.586743363354996 0.0538565261577979 0.054201102695573766
A1795 0.0616 3054.816132 -11.623373218079745 -10.747063971025572 0.04258435200484456 0.04721416935581324
A2029 0.0767 67.8289 -9.817143601068754 -9.031022308178816 0.27571295313526356 0.3377598630269443
A2029 0.0767 202.175886 -10.39576570127563 -9.291965873349673 0.15724108259700031 0.12360390283868661
A2029 0.0767 335.796675 -10.569736625880218 -9.488468825596694 0.09580816210757703 0.06812085900120302
A2029 0.0767 454.810867 -10.664934769567923 -9.621664916243866 0.0653827310265509 0.04642489468974631
A2029 0.0767 539.315153 -10.717891020768569 -9.700248863958462 0.05422294809699579 0.03740096817743499
A2029 0.0767 622.638983 -10.76327554309749 -9.770474207007464 0.047320059199153164 0.03360427128270338
A2029 0.0767 721.752349 -10.811336914677446 -9.843255934514042 0.041174356056092876 0.030908128289135917
A2029 0.0767 822.505545 -10.855680264467386 -9.908402841214498 0.03724248587529999 0.028818028616987235
A2029 0.0767 931.511982 -10.899304385805511 -9.972116605656497 0.033517951205716656 0.028518104457191384
A2029 0.0767 1037.383614 -10.93779578233414 -10.028409057886563 0.031161430132005563 0.028734427931873086
A2029 0.0767 1136.852191 -10.971331331399634 -10.076314098308169 0.03133054271484248 0.028052707075328698
A2029 0.0767 1246.6442 -11.006277124288642 -10.124352018117545 0.032182494180101884 0.02796495481807426
A2029 0.0767 1363.21489 -11.041187126052952 -10.172343125501815 0.03189851222511031 0.027325154686760555
A2029 0.0767 1486.951127 -11.075671860247882 -10.219661680801483 0.031851414233743824 0.027007581755395194
A2029 0.0767 1609.848592 -11.108028665191032 -10.263462610689956 0.031560778564463376 0.027389589295010452
A2029 0.0767 1722.530397 -11.136983146666843 -10.301333557900984 0.030890982821816237 0.028235894949093066
A2029 0.0767 1857.399726 -11.171732178961324 -10.344405545305642 0.02950794675161994 0.029766291430762593
A2029 0.0767 1992.105319 -11.205661958926646 -10.385088104587583 0.028232925019688437 0.031141163586422493
A2029 0.0767 2105.294841 -11.233011479259046 -10.417429139682 0.026734879734963357 0.03162838638644594
A2029 0.0767 2205.682898 -11.256217976961697 -10.444933997807317 0.02505856706332743 0.03154580508078908
A2029 0.0767 2283.260738 -11.27159997194549 -10.46536078146554 0.0237890607271396 0.03135222086049794
A2029 0.0767 2374.752508 -11.288880972641577 -10.488815346171117 0.02225616189923585 0.030806430687434272
A2029 0.0767 2481.433034 -11.308216916215251 -10.514863422436951 0.020566445595488148 0.030201768807611273
A2029 0.0767 2576.373375 -11.324745041531326 -10.537216327782474 0.019561153529352282 0.029245234339466464
A2029 0.0767 2680.629616 -11.34221415676079 -10.560706143358606 0.018558596870764887 0.028193099620748896
A2029 0.0767 2801.078292 -11.361577829658463 -10.586689936350288 0.01801493316394165 0.026842774004302683
A2029 0.0767 2937.963722 -11.382607196460414 -10.614862612611685 0.0181536347955511 0.02513466370572459
A2029 0.0767 3124.5957 -11.409766375052445 -10.651516940238421 0.01839895181672091 0.02336740973856699
A2029 0.0767 3380.833435 -11.444544892713218 -10.698814280651382 0.01883526712321526 0.021880608400429935
A2029 0.0767 3819.845983 -11.498458682203344 -10.772756680715466 0.020373430633283007 0.021482834806306528
A2029 0.0767 4498.707879 -11.570757887884447 -10.871920936823152 0.02466335352210791 0.023826840710636787
A2029 0.0767 5426.864664 -11.653716141070102 -10.988171071429687 0.03128500648671384 0.03170913469664072
A2142 0.0899 95.95727 -10.412361235007554 -9.498179131301606 0.30908782563835047 0.22895155677540124
A2142 0.0899 245.171654 -10.588562249671602 -9.723848100216065 0.17252485968974618 0.12189070092817822
A2142 0.0899 346.60124 -10.648700445113464 -9.820918656989612 0.1317598412179386 0.0957639666796748
A2142 0.0899 429.705638 -10.691526259186992 -9.881656750730142 0.11968991957156128 0.07830204275338204
A2142 0.0899 524.036592 -10.730553540588135 -9.937521774303525 0.10973880457299856 0.06525371743780362
A2142 0.0899 610.365492 -10.760734033912076 -9.981863349481909 0.10187697177293487 0.05897916176293805
A2142 0.0899 695.834036 -10.787721481774048 -10.019683194437699 0.09392779153569464 0.05354587881296702
A2142 0.0899 793.60767 -10.817211522174063 -10.059489225797213 0.08373959841925327 0.04986238922075259
A2142 0.0899 860.161264 -10.836872632286621 -10.082725964849018 0.07843359384079207 0.046941642690509155
A2142 0.0899 933.531848 -10.858296204492518 -10.106598858696652 0.0740973327774821 0.04416383684204028
A2142 0.0899 1036.130443 -10.88778860156888 -10.137903977304935 0.06800483778005173 0.04151896201088867
A2142 0.0899 1129.807731 -10.914129119724304 -10.163075262067855 0.06327040228009828 0.03805232255165336
A2142 0.0899 1205.956589 -10.935071571983071 -10.181149769486733 0.05950153566757699 0.034604458287093465
A2142 0.0899 1297.04959 -10.959409987415814 -10.201776975510011 0.055978192929000414 0.032007040975075896
A2142 0.0899 1390.387601 -10.983509843516659 -10.221507609794934 0.05314022003720176 0.02997367973772569
A2142 0.0899 1482.100027 -11.006564276314855 -10.239772803529455 0.050122835647620434 0.02787021338642859
A2142 0.0899 1596.45116 -11.034284773229812 -10.261109528377238 0.046175831931854816 0.025518006823270767
A2142 0.0899 1717.911098 -11.062763289944412 -10.282169263604837 0.04185281057846524 0.023627458861559703
A2142 0.0899 1818.022511 -11.08542009322969 -10.29858879709936 0.038395711296484336 0.022329696416507616
A2142 0.0899 1912.520354 -11.106279837957224 -10.313305371634057 0.03579052968641783 0.021209626889756805
A2142 0.0899 2015.082611 -11.128317458888343 -10.327987123825416 0.03337775034629864 0.019609221488241957
A2142 0.0899 2117.965914 -11.149912255696728 -10.342202013636632 0.03117750343186998 0.01825499129503605
A2142 0.0899 2209.573955 -11.168675345006609 -10.354494679038362 0.029340678087640626 0.017312764977395645
A2142 0.0899 2318.740321 -11.190318382896558 -10.368411160722324 0.02685722818484315 0.016647353298109735
A2142 0.0899 2426.457466 -11.210314848142582 -10.381614987813961 0.02463309915834344 0.01622224625170432
A2142 0.0899 2500.017482 -11.22341832135229 -10.390075321179037 0.02339900914000026 0.01614088831277094
