# X-COP per-point radial acceleration relation (RAR) dataset
# Twelve X-COP galaxy clusters; Einasto (EIN3) hydrostatic mass profiles.
#
# Source : Monjo 2025, ApJ 981, 195 (DOI 10.3847/1538-4357/adb723), from the X-COP Einasto
#          (EIN3) hydrostatic mass profiles (Eckert et al. 2022, A&A 662, A123; X-COP).
#
# Column definitions (exactly as used for the published chi^2 in fig2_table2.py):
#   r_kpc         = R_REF                                              [kpc]
#   gbar_si       = GN*Msol*MGAS         / (R_REF*kpc)^2               [m/s^2]  (gas-only baryonic Newtonian)
#   gobs_si       = GN*Msol*(M_DM+MGAS)  / (R_REF*kpc)^2               [m/s^2]  (total hydrostatic accel.)
#   sigma_gobs_si = (obs_HI - obs_LO)/2                                [m/s^2]
#       obs_HI = GN*Msol*(M_DM_HI+MGAS_HI)/(R_IN *kpc)^2 ; obs_LO = GN*Msol*(M_DM_LO+MGAS_LO)/(R_OUT*kpc)^2
#   FITS mass columns MGAS, M_DM (and _HI/_LO) are in solar masses; multiplied by Msol -> kg.
#   Values are already SI (m/s^2): GN[SI]*mass[kg]/radius[m]^2. No further unit rescaling. (a0 = 1.2e-10 m/s^2)
#
# Constants (verbatim from hmg_common.py):
#   c0=3e8 m/s ; Msol=1.9891e30 kg ; GN=6.674e-11 SI ; kpc=3261.8116478174*365*24*3600*c0 m = 3.085935e+19 m
#
# Window : only bins with R_REF >= 1000 kpc (lgR2 mask in fig2_table2.py), which define the
#          Table 2 published chi^2; per-cluster degrees of freedom df = N - 1.
# Grouping: keep per-cluster; fit each cluster separately. N per cluster:
#   A85      N=28
#   A644     N=22
#   A1644    N=27
#   A1795    N=29
#   A2029    N=31
#   A2142    N=31
#   A2255    N=29
#   A2319    N=29
#   A3158    N=26
#   A3266    N=27
#   RXC1825  N=26
#   ZW1215   N=25
# Total N = 330 over 12 clusters.
# Generated: 2026-08-06
#
# cluster  r_kpc  gbar_si  gobs_si  sigma_gobs_si
A85         1039.9252   7.690518e-12   7.123419e-11   3.281602e-12
A85         1082.6584   7.451240e-12   6.899319e-11   3.197276e-12
A85         1127.1476   7.211808e-12   6.680084e-11   3.113606e-12
A85         1173.4651   6.972334e-12   6.465889e-11   3.028523e-12
A85         1221.6858   6.734221e-12   6.256411e-11   2.947879e-12
A85         1271.8881   6.497177e-12   6.051721e-11   2.867118e-12
A85         1324.1532   6.262058e-12   5.851466e-11   2.790146e-12
A85         1378.5660   6.029237e-12   5.656128e-11   2.714560e-12
A85         1435.2150   5.798930e-12   5.465551e-11   2.641759e-12
A85         1494.1917   5.571865e-12   5.279609e-11   2.569222e-12
A85         1555.5918   5.347953e-12   5.098212e-11   2.499621e-12
A85         1619.5151   5.127952e-12   4.921420e-11   2.428931e-12
A85         1686.0652   4.912602e-12   4.749307e-11   2.362662e-12
A85         1755.3500   4.701682e-12   4.581738e-11   2.297224e-12
A85         1827.4819   4.495880e-12   4.418846e-11   2.233208e-12
A85         1902.5779   4.295103e-12   4.260441e-11   2.170897e-12
A85         1980.7598   4.099498e-12   4.106270e-11   2.108849e-12
A85         2062.1543   3.909959e-12   3.956515e-11   2.049166e-12
A85         2146.8936   3.725882e-12   3.811132e-11   1.990484e-12
A85         2235.1150   3.547761e-12   3.670090e-11   1.935013e-12
A85         2326.9617   3.375684e-12   3.533387e-11   1.879228e-12
A85         2422.5825   3.209739e-12   3.400516e-11   1.824068e-12
A85         2522.1328   3.049866e-12   3.271803e-11   1.771617e-12
A85         2625.7737   2.895853e-12   3.147014e-11   1.721230e-12
A85         2733.6736   2.747928e-12   3.026159e-11   1.670122e-12
A85         2846.0073   2.606019e-12   2.909150e-11   1.622814e-12
A85         2962.9570   2.470272e-12   2.795912e-11   1.577058e-12
A85         3084.7126   2.340569e-12   2.686449e-11   1.530892e-12
A644        1034.0695   7.470101e-12   7.903405e-11   5.230939e-12
A644        1075.0719   7.251940e-12   7.493719e-11   5.115614e-12
A644        1117.7001   7.033299e-12   7.095858e-11   4.980957e-12
A644        1162.0186   6.814578e-12   6.712585e-11   4.866701e-12
A644        1208.0942   6.596169e-12   6.341906e-11   4.741536e-12
A644        1255.9969   6.378730e-12   5.987054e-11   4.626476e-12
A644        1305.7992   6.162288e-12   5.647732e-11   4.490320e-12
