# log10_gbar log10_gobs log10_p16 log10_p84
-1.583261932498500535e+01 -1.332203797248426369e+01 -1.365825596367485417e+01 -1.315765394889228723e+01
-1.554690503927069933e+01 -1.308077681642386025e+01 -1.341171747799499059e+01 -1.291684837134035213e+01
-1.526119075355641108e+01 -1.284389116357445282e+01 -1.316871013348082009e+01 -1.268054456956801879e+01
-1.518970602618926335e+01 -1.251680190965252493e+01 -1.266473773900643884e+01 -1.239134322437618785e+01
-1.497547646784215480e+01 -1.261212756721966599e+01 -1.292982101264523997e+01 -1.244950721327370324e+01
-1.490399174047497688e+01 -1.228669335900595172e+01 -1.243127214357743426e+01 -1.216291660609876146e+01
-1.468976218212784701e+01 -1.238637942830563432e+01 -1.269576178213453943e+01 -1.222471675360582033e+01
-1.461827745476069218e+01 -1.206296527113474859e+01 -1.220360610735521867e+01 -1.194121191806012128e+01
-1.440404789641356942e+01 -1.216770763096324792e+01 -1.246739467432430004e+01 -1.200732149288069905e+01
-1.433256316904640570e+01 -1.184677974763538977e+01 -1.198280215938265947e+01 -1.172747314763744519e+01
-1.411833361069928650e+01 -1.195735589068779525e+01 -1.224576048126564309e+01 -1.179868674255789074e+01
-1.404684888333211923e+01 -1.163950756891386540e+01 -1.177013076335041397e+01 -1.152316847308044956e+01
-1.383261932498500002e+01 -1.175675413213305021e+01 -1.203210528927390754e+01 -1.160041205918825291e+01
-1.376113459761783453e+01 -1.144273182083287210e+01 -1.156708785698748976e+01 -1.132999074280159491e+01
-1.354690503927070289e+01 -1.156750054058996646e+01 -1.182789317560640718e+01 -1.141430342216054328e+01
-1.347542031190354805e+01 -1.125822300942078336e+01 -1.137539201931444488e+01 -1.114982282188932139e+01
-1.326119075355643595e+01 -1.139131100544076780e+01 -1.163481061847159381e+01 -1.124229063009584273e+01
-1.318970602618926335e+01 -1.108786893380800009e+01 -1.119694415671959220e+01 -1.098464729956191732e+01
-1.297547646784212283e+01 -1.122992511964666917e+01 -1.145477442607745466e+01 -1.108639311659012172e+01
-1.290399174047497688e+01 -1.093354352851350342e+01 -1.103372903067349142e+01 -1.083638235819752715e+01
-1.268976218212786300e+01 -1.108496280873692008e+01 -1.128974732705565742e+01 -1.094830162420052666e+01
-1.261827745476069218e+01 -1.079690876467683225e+01 -1.088764149329410102e+01 -1.070664104998204991e+01
-1.240404789641356231e+01 -1.095773686007350989e+01 -1.114160790427205860e+01 -1.082941717808579796e+01
-1.233256316904640570e+01 -1.067916582623656119e+01 -1.076023774791225662e+01 -1.059644364644518610e+01
-1.211833361069927051e+01 -1.084904417886096972e+01 -1.101204512549244363e+01 -1.073034851615652663e+01
-1.204684888333212101e+01 -1.058080309311586653e+01 -1.065244619283381944e+01 -1.050595395187564485e+01
-1.183261932498499824e+01 -1.075897863994833870e+01 -1.090202456214892202e+01 -1.065063389271136884e+01
-1.176113459761783453e+01 -1.050141511131855410e+01 -1.056431323170889769e+01 -1.043433527112461867e+01
-1.147542031190354805e+01 -1.043966719151764266e+01 -1.049487998151985835e+01 -1.037980070409218492e+01
-1.118970602618926335e+01 -1.039344079627730721e+01 -1.044225816852386579e+01 -1.033986204110648188e+01
