# log10_gbar log10_gobs log10_p16 log10_p84
-1.561185839040767398e+01 -1.313201259119254161e+01 -1.352218799128243099e+01 -1.294999672860121542e+01
-1.532614410469338395e+01 -1.289332087861668086e+01 -1.327707065172962508e+01 -1.271200968146249188e+01
-1.517422433631443468e+01 -1.273213740907178781e+01 -1.301095396013899474e+01 -1.257322829341899961e+01
-1.504042981897909215e+01 -1.265944559056670293e+01 -1.303571781266682805e+01 -1.247897044984530446e+01
-1.494598101397834000e+01 -1.249987749016266037e+01 -1.278182286827174963e+01 -1.234593217585225844e+01
-1.488851005060014998e+01 -1.249926498139427977e+01 -1.277211149965542170e+01 -1.234127430234208944e+01
-1.475503747046912117e+01 -1.230151811644092241e+01 -1.267347080128216952e+01 -1.215344768999892366e+01
-1.475471553326480745e+01 -1.243122273275340639e+01 -1.279876600747448201e+01 -1.225183392918021674e+01
-1.466026672826405353e+01 -1.227085742936074197e+01 -1.254635021102495607e+01 -1.211830477782392101e+01
-1.460279576488586706e+01 -1.227218307094226368e+01 -1.253810921757158781e+01 -1.211538444003931403e+01
-1.446932318475483470e+01 -1.208148908052377202e+01 -1.243984415202814908e+01 -1.192996482291505345e+01
-1.446900124755054762e+01 -1.220964935168346521e+01 -1.256698692209779722e+01 -1.203168229300931458e+01
-1.437455244254976883e+01 -1.204836877088337133e+01 -1.231631485124314196e+01 -1.189757538293249439e+01
-1.431708147917157525e+01 -1.205191008712535350e+01 -1.230980918693592763e+01 -1.189668129458267387e+01
-1.418360889904054822e+01 -1.186861757498660808e+01 -1.221198796010304299e+01 -1.171411831966879546e+01
-1.418328696183624515e+01 -1.199590181944503087e+01 -1.234131291784961526e+01 -1.181976801104610253e+01
-1.408883815683548235e+01 -1.183358153572778804e+01 -1.209270543940471043e+01 -1.168502016892863260e+01
-1.403136719345728345e+01 -1.183965105873592272e+01 -1.208825481971538807e+01 -1.168648175630045749e+01
-1.389789461332626352e+01 -1.166396334220435449e+01 -1.199095891643500345e+01 -1.150747144900542729e+01
-1.389757267612196223e+01 -1.179134471640828430e+01 -1.212287040526569015e+01 -1.161763625418109491e+01
-1.380312387112119765e+01 -1.162786448333652523e+01 -1.187670895577874397e+01 -1.148189309363390542e+01
-1.374565290774300408e+01 -1.163681064192391723e+01 -1.187469403569882509e+01 -1.148646480842786843e+01
