# log10_gbar log10_gobs log10_p16 log10_p84
-1.559823538708729984e+01 -1.315082826113524916e+01 -1.351457033021036480e+01 -1.297777456332630841e+01
-1.531252110137300271e+01 -1.291174568570528969e+01 -1.326953243090222578e+01 -1.273940350253159615e+01
-1.517159509455736988e+01 -1.274392761222091330e+01 -1.301788671001344078e+01 -1.259331699760093493e+01
-1.502680681565873577e+01 -1.267741496399281154e+01 -1.302827219730224684e+01 -1.250597029903318891e+01
-1.494541083384517499e+01 -1.250301494624976328e+01 -1.278255132770451930e+01 -1.235012017430935316e+01
-1.488588080884308518e+01 -1.251094595075915805e+01 -1.277895996649981214e+01 -1.236100196825555741e+01
-1.475460799684266533e+01 -1.230080855091427239e+01 -1.267606645844355207e+01 -1.215312622227275519e+01
-1.474109252994442620e+01 -1.244866056989478231e+01 -1.279142895689030723e+01 -1.227834888044566064e+01
-1.465969654813088852e+01 -1.227393181655782506e+01 -1.254715165981834346e+01 -1.212237010469073262e+01
-1.460016652312880048e+01 -1.228371896960479681e+01 -1.254485650135076114e+01 -1.213469514337581856e+01
-1.446889371112837885e+01 -1.208089313304818191e+01 -1.244239884894078507e+01 -1.192955479962827603e+01
-1.445537824423016460e+01 -1.222646715266154160e+01 -1.255977777744427648e+01 -1.205759550103030797e+01
-1.437398226241660204e+01 -1.205136763478019546e+01 -1.231720241170587471e+01 -1.190146674746717004e+01
-1.431445223741451223e+01 -1.206325399140604127e+01 -1.231643715731185829e+01 -1.191549126466468245e+01
-1.418317942541409238e+01 -1.186814055571856130e+01 -1.221449427298400892e+01 -1.171360336567332183e+01
-1.416966395851587457e+01 -1.201199881338214404e+01 -1.233425762005729887e+01 -1.184496060755332891e+01
-1.408826797670231556e+01 -1.183648992883020235e+01 -1.209366565743462907e+01 -1.168867488395536114e+01
-1.402873795170022042e+01 -1.185074362226149525e+01 -1.209474135265985062e+01 -1.170484428297967305e+01
-1.389746513969980768e+01 -1.166360716573799472e+01 -1.199340791755607682e+01 -1.150692309753157971e+01
-1.388394967280158454e+01 -1.180660975863413853e+01 -1.211599824849590057e+01 -1.164197135594766230e+01
-1.380255369098803087e+01 -1.163066495786926602e+01 -1.187774620378261936e+01 -1.148570127983742672e+01
-1.374302366598594105e+01 -1.164758014378275952e+01 -1.188102551242076466e+01 -1.150414364113406940e+01
-1.361175085398552120e+01 -1.146854367615865122e+01 -1.178040204956398007e+01 -1.131111960624771307e+01
-1.359823538708729807e+01 -1.161183774026641657e+01 -1.190634313333986682e+01 -1.145031915644360154e+01
-1.351683940527374439e+01 -1.143545614065466332e+01 -1.167083763399480034e+01 -1.129408818380584734e+01
-1.345730938027165635e+01 -1.145535192194782503e+01 -1.167674241663075740e+01 -1.131519995736497997e+01
-1.332603656827123473e+01 -1.128442117730118888e+01 -1.157696408261233856e+01 -1.112789535006329444e+01
-1.331252110137301692e+01 -1.142936899986981203e+01 -1.170685975008679058e+01 -1.127193217277477011e+01
-1.323112511955945791e+01 -1.125259394800039559e+01 -1.147451446006308196e+01 -1.111577001158683942e+01
-1.317159509455736988e+01 -1.127580717503200347e+01 -1.148357255050957093e+01 -1.113996257535571566e+01
-1.304032228255695003e+01 -1.111291161149696016e+01 -1.138480481575127712e+01 -1.095923055237096833e+01
-1.302680681565872689e+01 -1.126096251176111984e+01 -1.151932762468590354e+01 -1.110879433308496900e+01
-1.294541083384517322e+01 -1.108390227064296951e+01 -1.129072486031887124e+01 -1.095270361074017451e+01
-1.288588080884308162e+01 -1.111076898510950350e+01 -1.130339160697446665e+01 -1.098038491290108176e+01
-1.275460799684266355e+01 -1.095579307026935290e+01 -1.120581992353799983e+01 -1.080707618785942792e+01
-1.274109252994445285e+01 -1.110832446684838537e+01 -1.134569564926026430e+01 -1.096280546096429021e+01
-1.265969654813088674e+01 -1.093116813786457620e+01 -1.112143933191741318e+01 -1.080642156426110034e+01
-1.260016652312879515e+01 -1.096199039200901026e+01 -1.113823814372696219e+01 -1.083836777404407847e+01
