# log10_gbar log10_gobs log10_p16 log10_p84
-1.574324351076966089e+01 -1.322179876553725997e+01 -1.363441492462799509e+01 -1.303061523239135511e+01
-1.545752922505536553e+01 -1.298216820115836434e+01 -1.338811801421751113e+01 -1.279147907032962728e+01
-1.518639566356629444e+01 -1.268038495829094714e+01 -1.297740766382461786e+01 -1.250971719750762468e+01
-1.517181493934110570e+01 -1.274718469587493352e+01 -1.314539161707618220e+01 -1.255712065176418868e+01
-1.495297814291722283e+01 -1.246342034986156122e+01 -1.277469100131496660e+01 -1.226290854903582250e+01
-1.490068137785200797e+01 -1.244797551082481668e+01 -1.273901491851103529e+01 -1.227879419571814701e+01
-1.488610065362678192e+01 -1.251764645727830327e+01 -1.290683114663224629e+01 -1.232839430084331234e+01
-1.477994383693082270e+01 -1.234348708500604630e+01 -1.252012034232103943e+01 -1.218117924449243183e+01
-1.466726385720293635e+01 -1.223510131065545714e+01 -1.253929772096567596e+01 -1.203690360435044049e+01
-1.461496709213772149e+01 -1.222150466023867033e+01 -1.250553946783906234e+01 -1.205413437859871806e+01
-1.460038636791251854e+01 -1.229450491535392942e+01 -1.267315840204815025e+01 -1.210634848501668692e+01
-1.449422955121653622e+01 -1.211645434236259966e+01 -1.228903713395342834e+01 -1.195698911615348337e+01
-1.438154957148864987e+01 -1.201345373254539517e+01 -1.230935600831269383e+01 -1.181806790808224150e+01
-1.432925280642343502e+01 -1.200203665008664267e+01 -1.227786189053336585e+01 -1.183690984622501574e+01
-1.431467208219822851e+01 -1.207888277716433123e+01 -1.244524527550149173e+01 -1.189219571612491499e+01
-1.420851526550224975e+01 -1.189637272457405714e+01 -1.206418633439056798e+01 -1.174030267803837013e+01
-1.409583528577436518e+01 -1.179967638580773936e+01 -1.208585745397023814e+01 -1.160772910917933132e+01
-1.404353852070915032e+01 -1.179082844959001974e+01 -1.205704020676642507e+01 -1.162849053027710688e+01
-1.402895779648395269e+01 -1.187208401845068018e+01 -1.222415050538084458e+01 -1.168745760844506520e+01
-1.392280097978796505e+01 -1.168451486520098470e+01 -1.184671626527413224e+01 -1.153250712294963876e+01
-1.381012100006007870e+01 -1.159516733990954407e+01 -1.186999239350675595e+01 -1.140744219983026753e+01
-1.375782423499486384e+01 -1.158933753342985362e+01 -1.184433249348168538e+01 -1.143048539765931970e+01
-1.374324351076963779e+01 -1.167558810201783537e+01 -1.201113555065715666e+01 -1.149371584511398581e+01
-1.363708669407367857e+01 -1.148236942620753531e+01 -1.163799186199944025e+01 -1.133521661396506808e+01
-1.352440671434579222e+01 -1.140151667958213011e+01 -1.166317179002650484e+01 -1.121897887159995832e+01
-1.347210994928057914e+01 -1.139920762908801777e+01 -1.164124701328892009e+01 -1.124475476744924407e+01
-1.345752922505537619e+01 -1.149101853038059318e+01 -1.180768684054712203e+01 -1.131285087921963495e+01
-1.335137240835939387e+01 -1.129163228415602660e+01 -1.143960499683413090e+01 -1.115025200266171446e+01
-1.323869242863150752e+01 -1.122046730886359711e+01 -1.146703372564199164e+01 -1.104399178287306249e+01
-1.318639566356629267e+01 -1.122221882294232387e+01 -1.144950171478130052e+01 -1.107317524240935924e+01
-1.317181493934111103e+01 -1.132007528561525511e+01 -1.161551495505102949e+01 -1.114689006545269834e+01
-1.306565812264510740e+01 -1.111415976514464532e+01 -1.125335773311652510e+01 -1.097957241467393175e+01
-1.295297814291722105e+01 -1.105382984129884072e+01 -1.128341938755877294e+01 -1.088442113339999651e+01
-1.290068137785200619e+01 -1.106018825460845001e+01 -1.127099723381617657e+01 -1.091759352835676822e+01
-1.288610065362682278e+01 -1.116442353787372532e+01 -1.143651541558147677e+01 -1.099781176865908350e+01
-1.277994383693082270e+01 -1.095186607668555467e+01 -1.108119951950240534e+01 -1.082513872847206393e+01
-1.266726385720293635e+01 -1.090334192659643797e+01 -1.111430691816713434e+01 -1.074236388486499472e+01
-1.261496709213772149e+01 -1.091481350357293501e+01 -1.110771413474651048e+01 -1.077991386406082341e+01
-1.260038636791252387e+01 -1.102553871545518582e+01 -1.127267396733361338e+01 -1.086717411976661829e+01
-1.249422955121653622e+01 -1.080655260527548478e+01 -1.092509811064146952e+01 -1.068869907426832810e+01
-1.238154957148864987e+01 -1.077047491921078581e+01 -1.096166139651121618e+01 -1.061926247027883363e+01
-1.232925280642343502e+01 -1.078746532495770261e+01 -1.096149612952753749e+01 -1.066142696976147519e+01
-1.231467208219824450e+01 -1.090452077682154020e+01 -1.112589600654407462e+01 -1.075605936707765586e+01
-1.220851526550224975e+01 -1.067967437661590857e+01 -1.078683274990505225e+01 -1.057151289886400392e+01
-1.209583528577436518e+01 -1.065621130352420920e+01 -1.082718172609278540e+01 -1.051609458643263650e+01
-1.204353852070915032e+01 -1.067895880189134417e+01 -1.083394222827514142e+01 -1.056300155934693308e+01
-1.202895779648393315e+01 -1.080190612337350231e+01 -1.099775723423912943e+01 -1.066465290201496074e+01
-1.192280097978796505e+01 -1.057207874635026634e+01 -1.066772282461823096e+01 -1.047406992886599575e+01
-1.181012100006007870e+01 -1.056083874074084150e+01 -1.071200886691026177e+01 -1.043270601060469360e+01
-1.175782423499486562e+01 -1.058935516052066106e+01 -1.072616835502710941e+01 -1.048372139714181195e+01
-1.174324351076962536e+01 -1.071751913047923388e+01 -1.088920045439455109e+01 -1.059215302565016081e+01
-1.163708669407367857e+01 -1.048378277568432537e+01 -1.056834411704460841e+01 -1.039589417727257015e+01
-1.152440671434579400e+01 -1.048381966412628508e+01 -1.061653566407230542e+01 -1.036763164285702743e+01
-1.147210994928057914e+01 -1.051785741308366973e+01 -1.063801279609192463e+01 -1.042215633968771549e+01
-1.135137240835939387e+01 -1.041386817564733569e+01 -1.048832036682675906e+01 -1.033552060818211338e+01
-1.123869242863150752e+01 -1.042378759039573310e+01 -1.054025732667830617e+01 -1.031878849599134185e+01
-1.118639566356629267e+01 -1.046284880579112198e+01 -1.056855584332601516e+01 -1.037632023784225588e+01
-1.106565812264510740e+01 -1.036054828970165076e+01 -1.042628013491427907e+01 -1.029067742049214829e+01
-1.095297814291722105e+01 -1.037868905276522113e+01 -1.048160390464157032e+01 -1.028352048698544152e+01
-1.077994383693082092e+01 -1.032140333824634659e+01 -1.038001931377205800e+01 -1.025862383262644428e+01
