# r_Mpc  log10_gbar  log10_gobs_lo  log10_gobs_hi
# # Bin 3: filtrat (no subnewtonia, amplada<0.70 dex)
7.077381e-02 -1.179139e+01 -1.176060e+01 -1.134580e+01
1.015511e-01 -1.210501e+01 -1.143501e+01 -1.142403e+01
1.457125e-01 -1.241864e+01 -1.131426e+01 -1.128258e+01
2.090784e-01 -1.273226e+01 -1.123442e+01 -1.122725e+01
3.000000e-01 -1.304589e+01 -1.136617e+01 -1.125743e+01
4.304606e-01 -1.335951e+01 -1.142239e+01 -1.132956e+01
6.176545e-01 -1.367314e+01 -1.167141e+01 -1.144327e+01
8.862531e-01 -1.398676e+01 -1.201665e+01 -1.161390e+01
1.271657e+00 -1.430038e+01 -1.187691e+01 -1.183854e+01
1.824661e+00 -1.461401e+01 -1.226773e+01 -1.211553e+01
