bin,R_Mpc,g_SIS_mss,g_fwd_mss,g_fwd_over_g_SIS,chi2_nu_SIS,chi2_nu_FWD
1,3.53900e-02,1.49727e-11,1.19061e-11,0.79518,0.3308,0.4769
1,4.81080e-02,1.09522e-11,9.27971e-12,0.84729,0.3308,0.4769
1,6.53960e-02,8.03196e-12,7.12174e-12,0.88668,0.3308,0.4769
1,8.88960e-02,5.89869e-12,5.40420e-12,0.91617,0.3308,0.4769
1,1.20840e-01,4.33530e-12,4.06720e-12,0.93816,0.3308,0.4769
1,1.64270e-01,3.18734e-12,3.04253e-12,0.95457,0.3308,0.4769
1,2.23300e-01,2.34375e-12,2.26627e-12,0.96694,0.3308,0.4769
1,3.03540e-01,1.72323e-12,1.68298e-12,0.97665,0.3308,0.4769
1,4.12620e-01,1.26627e-12,1.24736e-12,0.98507,0.3308,0.4769
1,5.60900e-01,9.29097e-13,9.23549e-13,0.99403,0.3308,0.4769
1,7.62470e-01,6.79150e-13,6.83480e-13,1.00638,0.3308,0.4769
1,1.03650e+00,4.92032e-13,5.05034e-13,1.02643,0.3308,0.4769
1,1.40890e+00,3.49624e-13,3.70178e-13,1.05879,0.3308,0.4769
1,1.91520e+00,2.39603e-13,2.64264e-13,1.10293,0.3308,0.4769
1,2.60350e+00,1.56089e-13,1.79114e-13,1.14751,0.3308,0.4769
2,3.53900e-02,3.28781e-11,2.69814e-11,0.82065,1.5224,2.5157
2,4.81080e-02,2.40858e-11,2.08741e-11,0.86666,1.5224,2.5157
2,6.53960e-02,1.76782e-11,1.59324e-11,0.90125,1.5224,2.5157
2,8.88960e-02,1.29884e-11,1.20416e-11,0.92710,1.5224,2.5157
2,1.20840e-01,9.54778e-12,9.03631e-12,0.94643,1.5224,2.5157
2,1.64270e-01,7.01952e-12,6.74607e-12,0.96105,1.5224,2.5157
2,2.23300e-01,5.16017e-12,5.01848e-12,0.97254,1.5224,2.5157
2,3.03540e-01,3.79071e-12,3.72472e-12,0.98259,1.5224,2.5157
2,4.12620e-01,2.77933e-12,2.76096e-12,0.99339,1.5224,2.5157
2,5.60900e-01,2.02814e-12,2.04496e-12,1.00830,1.5224,2.5157
2,7.62470e-01,1.46356e-12,1.51060e-12,1.03214,1.5224,2.5157
2,1.03650e+00,1.03136e-12,1.10273e-12,1.06920,1.5224,2.5157
2,1.40890e+00,6.97179e-13,7.78352e-13,1.11643,1.5224,2.5157
2,1.91520e+00,4.46589e-13,5.18000e-13,1.15990,1.5224,2.5157
2,2.60350e+00,2.72965e-13,3.24214e-13,1.18775,1.5224,2.5157
3,3.53900e-02,4.06451e-11,3.26542e-11,0.80340,0.9011,0.5684
3,4.81080e-02,2.97460e-11,2.53900e-11,0.85356,0.9011,0.5684
3,6.53960e-02,2.18207e-11,1.94512e-11,0.89141,0.9011,0.5684
3,8.88960e-02,1.60273e-11,1.47413e-11,0.91976,0.9011,0.5684
3,1.20840e-01,1.17799e-11,1.10843e-11,0.94095,0.9011,0.5684
3,1.64270e-01,8.66000e-12,8.28703e-12,0.95693,0.9011,0.5684
3,2.23300e-01,6.36623e-12,6.17119e-12,0.96936,0.9011,0.5684
3,3.03540e-01,4.67733e-12,4.58349e-12,0.97994,0.9011,0.5684
3,4.12620e-01,3.43073e-12,3.39909e-12,0.99078,0.9011,0.5684
3,5.60900e-01,2.50588e-12,2.51858e-12,1.00507,0.9011,0.5684
3,7.62470e-01,1.81229e-12,1.86213e-12,1.02750,0.9011,0.5684
3,1.03650e+00,1.28277e-12,1.36329e-12,1.06277,0.9011,0.5684
3,1.40890e+00,8.73153e-13,9.68722e-13,1.10945,0.9011,0.5684
3,1.91520e+00,5.63469e-13,6.50645e-13,1.15471,0.9011,0.5684
3,2.60350e+00,3.46142e-13,4.10225e-13,1.18514,0.9011,0.5684
4,3.53900e-02,4.71532e-11,3.33094e-11,0.70641,1.5229,1.9005
4,4.81080e-02,3.42452e-11,2.66631e-11,0.77859,1.5229,1.9005
4,6.53960e-02,2.50143e-11,2.08744e-11,0.83450,1.5229,1.9005
4,8.88960e-02,1.83303e-11,1.60755e-11,0.87699,1.5229,1.9005
4,1.20840e-01,1.34560e-11,1.22306e-11,0.90894,1.5229,1.9005
4,1.64270e-01,9.88660e-12,9.22268e-12,0.93285,1.5229,1.9005
4,2.23300e-01,7.26755e-12,6.90998e-12,0.95080,1.5229,1.9005
4,3.03540e-01,5.34279e-12,5.15343e-12,0.96456,1.5229,1.9005
4,4.12620e-01,3.92633e-12,3.83127e-12,0.97579,1.5229,1.9005
4,5.60900e-01,2.88198e-12,2.84285e-12,0.98642,1.5229,1.9005
4,7.62470e-01,2.10889e-12,2.10725e-12,0.99922,1.5229,1.9005
4,1.03650e+00,1.53169e-12,1.55981e-12,1.01836,1.5229,1.9005
4,1.40890e+00,1.09407e-12,1.14755e-12,1.04888,1.5229,1.9005
4,1.91520e+00,7.56320e-13,8.26081e-13,1.09224,1.5229,1.9005
4,2.60350e+00,4.97619e-13,5.66911e-13,1.13925,1.5229,1.9005
