r_eq,s_fill,s_open
0.6302,0.5,2.001
0.5358,0.375,2.669
0.4549,0.552,1.814
0.4071,0.656,1.525
0.4575,0.467,2.141
0.407,0.427,2.342
0.4195,0.416,2.401
0.4285,0.425,2.353
0.514,0.321,3.113
0.4834,0.277,3.608
0.3004,0.837,1.194
0.2901,0.578,1.73
0.341,0.416,2.401
0.2665,0.823,1.213
0.3688,4.628,0.216
0.36,3.513,0.285
0.3401,1.961,0.51
0.3209,0.355,2.816
0.2868,3.421,0.292
0.3385,0.236,4.239
0.3039,0.458,2.185
0.2938,0.375,2.665
0.3663,0.271,3.696
0.3162,4.418,0.226
0.286,2.86,0.35
0.2608,0.309,3.234
0.2197,0.504,1.987
0.2061,2.383,0.42
0.2011,0.429,2.331
0.1862,2.247,0.445
0.2271,3.736,0.268
0.2024,0.32,3.124
0.1779,0.44,2.273
0.283,7.496,0.15
0.1767,0.405,2.474
0.2324,6.638,0.151
0.1725,0.51,1.961
0.1535,3.171,0.315
0.254,0.329,3.039
0.3108,0.308,3.245
0.1697,4.928,0.203
0.1622,3.663,0.273
0.1825,8.493,0.15
0.1591,0.241,4.151
0.1434,3.124,0.32
0.1153,3.182,0.314
0.108,8.549,0.15
0.104,0.283,3.538
0.1099,4.525,0.221
0.0667,3.49,0.287
