system,M_bar,r_sys,v_N,v_H,r_eq,s,s_lo,s_hi,s_eq,domain,xi2,xi2_lo,xi2_hi,gs_a0,gs_a0_lo,gs_a0_hi,chi2nu
Gas-rich UDGs,1.600e+09,9,27.7,0.6,111.1,0.0098,,,28.25,neighb.,1062482.469,1062482.469,1062482.469,0.005,0.005,0.005,0.829
Galaxy--galaxy WL,1.000e+11,500,29.3,35.4,440.8,2.76,2.67,2.83,2.02,Hubble,0.169,0.166,0.174,2.378,2.352,2.414,1.205
SPARC galaxies,2.680e+10,15,87.7,1.1,284.2,3.05,2.02,4.17,34.0,neighb.,0.035,0.014,0.121,1.04,0.636,1.998,0.683
Milky Way,7.410e+10,8,199.6,0.6,398.9,2.375,2.24,2.51,114.14,neighb.,0.075,0.063,0.089,1.546,1.416,1.696,2.63
X-COP clusters,1.000e+14,800,733.2,56.7,4407.6,0.95,0.7,1.51,12.61,neighb.,1.167,0.291,2.916,5.153,3.136,5.153,0.736
HIFLUGCS clust.,7.500e+13,800,635.0,56.7,4004.6,0.86,0.44,1.0,11.46,neighb.,1.573,1.001,11.74,4.54,1.658,5.478,2.343
RAR KiDS all,3.970e+10,500,18.5,35.4,323.9,0.445,0.436,0.454,1.48,neighb.,11.654,10.993,12.372,1.664,1.613,1.716,2.32
RAR KiDS bin 1,2.109e+10,500,13.5,35.4,262.4,0.272,0.254,0.29000000000000004,1.2,neighb.,50.27,41.579,61.601,0.77,0.692,0.85,0.33
RAR KiDS bin 2,3.970e+10,500,18.5,35.4,323.9,0.496,0.472,0.52,1.48,neighb.,8.502,7.418,9.816,1.966,1.822,2.111,1.52
RAR KiDS bin 3,5.462e+10,500,21.7,35.4,360.3,0.529,0.505,0.553,1.65,neighb.,6.978,6.136,7.987,2.18,2.031,2.332,0.9
RAR KiDS bin 4,9.958e+10,500,29.3,35.4,440.1,0.427,0.413,0.441,2.02,neighb.,12.967,11.782,14.318,1.573,1.493,1.655,1.52
RAR KiDS late ($n<2.5$),1.479e+10,500,11.3,35.4,233.1,0.329,0.306,0.35200000000000004,1.07,neighb.,28.904,23.751,35.724,1.03,0.921,1.142,0.83
RAR KiDS early ($n\geq2.5$),2.666e+10,500,15.1,35.4,283.7,2.067,1.9400000000000002,2.194,1.3,Hubble,0.57,0.551,0.593,4.323,4.259,4.403,1.57
RAR KiDS blue ($u-r$),1.277e+10,500,10.5,35.4,222.0,0.314,0.291,0.337,1.02,neighb.,33.253,27.081,41.533,0.956,0.851,1.066,1.32
RAR KiDS red ($u-r$),1.768e+10,500,12.3,35.4,247.4,2.076,1.953,2.199,1.13,Hubble,0.8,0.782,0.822,5.009,4.962,5.067,1.14
